name,cal,protein,carb,fat,cost
素食蔬菜,210,8,38,2.2,79
火腿,277,17,43,3.9,93
嫩切雞肉,261,13,50,2.4,93
義大利牛肉丸,362,19,50,8.8,99
火雞火腿,270,17,42,3.6,99
鮮嫩雞柳,284,23,39,3.6,99
鮪魚,345,20,42,10.3,105
火雞胸肉,251,15,40,3.1,105
香烤雞肉,291,21,41,4.5,105
照燒雞肉,322,25,46,4,105
百味俱樂部,285,19,41,3.7,110
哈燒起司總匯,358,20,39,24.4,110
燒烤牛肉,306,19,40,3.6,115
水牛城辣雞,316,25,44,3.9,115
義大利經典,385,21,42,14.8,125
厚切嫩牛,366,26,40,10.6,125
鄉村培根雞肉,465,30,42,19.5,125
