name,cal,protein,carb,fat,cost
韓式辣雞起司大飯糰,298,7.4,57.6,4.2,42
櫻花蝦香芋拌飯大飯糰,250,5.3,45.9,4.9,45
松露野菇烤雞大飯糰,251,6.5,44.2,5.3,45
肉鬆飯糰,245,5.5,41.8,6.2,25
韓式春川辣雞大飯糰,279,7.6,50.9,5,42
野郎炙燒培根捲飯糰,233,10.7,33.4,6.3,39
韓式風味野菜牛肉捲,287,6.8,52.8,5.3,55
鮪魚大飯糰,300,8,49.7,7.7,42
稻荷壽司,256,7.7,43.6,5.5,42
多蜜醬炸豬排手卷,280,7.4,56.8,2.6,35
肉鬆細捲,225,5.3,37.1,6,25
起司厚切豬排手卷,249,7.9,40,6.5,35
韓式飯卷-醬燒牛肉,293,8.7,37.5,11.9,45
韓式飯卷-泡菜燒肉,254,7.9,41.1,6.4,45
海陸雙手卷,382,8.7,67.9,8.4,39
香腸烤雞傳統飯糰,395,13.7,60.7,10.7,45
佃煮昆布椎茸壽司,333,8.5,56.3,8.3,55
海陸雙拼壽司組,328,8.2,56.5,7.5,60
義式香草烤雞飯糰,341,12.7,42.6,13.5,45
鮪魚大飯糰,300,8,49.7,7.7,42
大口炙燒培根漢堡排飯糰,388,14.8,49.4,14.6,49
大口炙燒手作漢堡排飯糰,366,13.5,47.2,11.7,45
泡菜起司豬排黑秈飯糰,340,11.3,54.7,8.5,49
大口法式奶油起司雞排飯糰,329,12,44.7,11.4,45
大口麻婆豆腐雞排飯糰,429,15.9,66.3,11.2,55
大口燒豚烤雞雙拼飯糰,460,14.4,66.5,15.2,55
大口宮保雞丁飯糰,408,11.4,68.9,9.6,55
大口塔香烤雞五穀米飯糰,434,12.5,72.3,10.6,55
